"Timestamp","How old are you?","Where are you from?","Do you live on campus?","Which residence hall do you live in?","Do you have a roommate?","Do you feel comfortable in your room at all times?","Do you enjoy eating in the Dining Hall?","Do you feel nourished after eating on campus?","Do you enjoy being on campus?","Do you feel safe walking around campus?","Do you like living in Nashville?","Do you have a car on campus?","Do you have problems parking on campus?","Do you feel as though you can’t get to class on time because of your parking situation?","Have you used public transportation since living in Nashville/on Belmont’s campus?","Other thoughts about your experience of Belmont:"
"2023/02/02 9:25:36 PM CST","18-20","Southeast","Yes","Wright","No","Yes","Yes","Yes","Sometimes","Yes","No","Yes","Yes","No","No",""
"2023/02/02 9:45:18 PM CST","18-20","Midwest","Yes","TK","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No",""
"2023/02/02 10:45:15 PM CST","18-20","West","Yes","Caldwell","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No",""
"2023/02/02 10:47:40 PM CST","18-20","Southeast","No","","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No",""
"2023/02/02 11:39:12 PM CST","18-20","Northeast","Yes","Potter","Yes","No","No","No","Yes","Yes","Yes","No","","","Yes",""
"2023/02/03 6:25:51 AM CST","18-20","Northeast","Yes","TK","No","No","No","No","Yes","Yes","Yes","No","No","No","No",""
"2023/02/03 11:15:51 AM CST","18-20","Midwest","Yes","Patton","Yes","No","Yes","Yes","Yes","Yes","No","No","","","No","i luv belmon"
"2023/02/03 11:47:41 AM CST","18-20","Southeast","Yes","Tall","No","Yes","No","No","Sometimes","Yes","Yes","Yes","Yes","Yes","No",""
"2023/02/03 12:10:25 PM CST","18-20","Midwest","Yes","Kennedy","No","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes",""
"2023/02/08 3:49:31 PM CST","18-20","Northeast","Yes","Heron","Yes","Yes","No","No","Yes","Yes","Yes","No","","","Yes",""
"2023/02/08 3:58:11 PM CST","18-20","Southeast","Yes","Potter","Yes","No","No","No","Sometimes","Yes","Yes","Yes","No","No","No",""
"2023/02/08 4:10:01 PM CST","18-20","Southeast","No","comute","No","Yes","No","","Sometimes","Yes","Yes","Yes","Yes","Yes","No",""
"2023/02/08 4:12:18 PM CST","18-20","Southeast","Yes","TK","Yes","No","No","No","Sometimes","No","Yes","Yes","No","No","No",""
"2023/02/08 5:05:04 PM CST","18-20","Southeast","Yes","Kennedy ","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","","No",""
"2023/02/08 5:18:59 PM CST","18-20","Midwest","Yes","Potter","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No",""
"2023/02/08 5:21:02 PM CST","18-20","Southeast","Yes","Russell","Yes","Yes","No","No","Sometimes","Yes","Yes","Yes","Yes","Yes","No",""
"2023/02/08 5:51:32 PM CST","18-20","West","Yes","Patton","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes",""
"2023/02/08 7:21:13 PM CST","18-20","Southeast","No","","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","I want to leave "
"2023/02/09 12:33:25 AM CST","18-20","Northeast","Yes","Patton","Yes","Yes","No","No","Sometimes","Yes","Yes","No","","","No","there are many rules for all of us being in college! everyone feels very babied even though we are all adults! the campus activities are also a little childish! i also wish there was more greek life options "
"2023/02/09 11:08:26 AM CST","18-20","Southeast","Yes","Russell","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes",""
"2023/02/09 11:33:57 AM CST","18-20","Midwest","Yes","Potter","No","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No",""
"2023/02/09 2:04:47 PM CST","18-20","Midwest","Yes","Patton","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","SFBU"
